,timestamp,plant_id,in_bounds,area,convex_hull_area,solidity,perimeter,width,height,longest_path,center_of_mass,convex_hull_vertices,object_in_frame,ellipse_center,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity
1314,2024-08-12 17:00:01,3,True,3017.0,525429.5,0.005741969189015843,265229.54906630516,1000,800,977.8491703734272,"(934.4272456082201, 1305.24196221412)",31,True,"(909.6279907226562, 1289.23046875)",884.4996948242188,700.6550903320312,78.10371398925781,0.6103284221771547
1315,2024-08-12 17:00:01,13,True,2755.0,450132.5,0.006120420098526545,261568.42079019547,848,736,852.7133164200029,"(2870.7956442831214, 1397.0185117967333)",22,True,"(2853.19384765625, 1383.1322021484375)",797.1559448242188,656.1582641601562,120.11890411376953,0.5678615388651275
1316,2024-08-12 17:00:01,12,True,2661.0,397541.5,0.006693640789703716,257707.23850226402,832,632,825.0339386958575,"(2802.8012025554303, 827.1180007515972)",24,True,"(2811.20947265625, 832.7603149414062)",763.5303344726562,594.6242065429688,97.98870849609375,0.6272938101672669
1317,2024-08-12 17:00:01,20,False,1549.0,237614.5,0.006518962437056661,145698.69877946377,784,392,786.7769696680248,"(3797.3808908973533, 2376.0135571336345)",21,False,"(3778.457763671875, 2422.228515625)",806.6585083007812,372.1517028808594,85.59711456298828,0.8872183531597946
1318,2024-08-12 17:00:01,17,True,2546.0,423698.0,0.006008996974259968,257428.25571894646,840,624,853.5648774404907,"(3604.22034564022, 835.4061272584446)",25,True,"(3604.640380859375, 827.7036743164062)",821.3148193359375,618.4867553710938,85.93538665771484,0.657969383637639
1319,2024-08-12 17:00:01,14,True,1654.0,220800.0,0.007490942028985507,142895.08786022663,704,480,726.8617475146151,"(2700.540507859734, 1855.8476420798065)",26,True,"(2713.68408203125, 1847.9583740234375)",736.3837890625,345.9199523925781,113.35489654541016,0.8827968386872638
1320,2024-08-09 13:45:01,15,False,1497.0,214536.5,0.006977833608733246,107383.05771064758,536,504,515.046599833452,"(2766.4709418837674, 2313.3473613894457)",15,False,"(2747.329833984375, 2338.866943359375)",533.8580932617188,450.86126708984375,104.99496459960938,0.5355020649486314
1321,2024-08-09 13:45:01,16,True,2581.0,334320.0,0.007720148360851878,207623.88924717903,672,696,702.9153576356118,"(3730.153816350252, 528.0317706315382)",19,True,"(3725.201171875, 529.2925415039062)",669.457763671875,635.8460693359375,146.63352966308594,0.3128800172946592
1322,2024-08-09 13:45:01,5,False,2166.0,444589.5,0.004871909930396467,197032.05075490475,784,904,901.018312799468,"(900.7059095106187, 2335.101569713758)",16,False,"(946.6986083984375, 2244.417724609375)",896.1016235351562,652.27294921875,0.10087810456752777,0.6856826174569954
1323,2024-08-09 13:45:01,13,True,2312.0,277505.5,0.008331366405350524,144011.539021492,568,688,649.2842212775543,"(2819.5540657439446, 1365.8957612456747)",28,True,"(2805.591796875, 1404.2674560546875)",656.115478515625,498.8070068359375,28.800878524780273,0.6496391521237747
1324,2024-08-09 13:45:01,19,True,1793.0,259043.0,0.0069216307717251575,134407.7998406887,720,496,736.5874014670628,"(3602.745119910764, 2009.9670942554378)",22,True,"(3609.990234375, 2001.8663330078125)",689.6430053710938,450.4870910644531,88.8085708618164,0.7571700585716445
